month	country	direction	code	category	measure	value	netto	quantity	region	district	meta_year	meta_month
08/2017	IT	ИМ	8481803900	КРАНЫ, КЛАПАНЫ, ВЕНТИЛИ И АНАЛОГИЧНАЯ АРМАТУРА ДЛЯ ТРУБОПРОВОДОВ, КОТЛОВ, РЕЗЕРВУАРОВ, ЦИСТЕРН, БАКОВ ИЛИ АНАЛОГИЧНЫХ ЕМКОСТЕЙ, ВКЛЮЧАЯ РЕДУКЦИОННЫЕ И ТЕРМОРЕГУЛИРУЕМЫЕ КЛАПАНЫ	1	1198	86	0	52000	6	2017	8
08/2017	BY	ИМ	9403202009	МЕБЕЛЬ ПРОЧАЯ И ЕЕ ЧАСТИ	1	1389	1212	0	66000	1	2017	8
08/2017	BR	ИМ	0203291301	СВИНИНА СВЕЖАЯ, ОХЛАЖДЕННАЯ ИЛИ ЗАМОРОЖЕННАЯ	1	73756	25002	0	98000	7	2017	8
08/2017	CN	ИМ	9207909000	МУЗЫКАЛЬНЫЕ ИНСТРУМЕНТЫ, У КОТОРЫХ ЗВУК ПРОИЗВОДИТСЯ ИЛИ ДОЛЖЕН БЫТЬ УСИЛЕН ЭЛЕКТРИЧЕСКИМ СПОСОБОМ (НАПРИМЕР, ОРГАНЫ, ГИТАРЫ, АККОРДЕОНЫ)	ШТ	18265	953	72	46000	1	2017	8
08/2017	LV	ИМ	8536101000	АППАРАТУРА ЭЛЕКТРИЧЕСКАЯ ДЛЯ КОММУТАЦИИ ИЛИ ЗАЩИТЫ ЭЛЕКТРИЧЕСКИХ ЦЕПЕЙ ИЛИ ДЛЯ ПОДСОЕДИНЕНИЙ К ЭЛЕКТРИЧЕСКИМ ЦЕПЯМ ИЛИ В ЭЛЕКТРИЧЕСКИХ ЦЕПЯХ (НАПРИМЕР, ВЫКЛЮЧАТЕЛИ, ПЕРЕКЛЮЧАТЕЛИ, ПРЕРЫВАТЕЛИ, РЕЛЕ, ПЛАВКИЕ ПРЕДОХРАНИТЕЛИ, ГАСИТЕЛИ СКАЧКОВ НАПРЯЖЕНИЯ, ШТЕПСЕЛЬНЫЕ ВИЛКИ И РОЗЕТКИ, ПАТРОНЫ ДЛЯ ЭЛЕКТРОЛАМП И ПРОЧИЕ СОЕДИНИТЕЛИ, СОЕДИНИТЕЛЬНЫЕ КОРОБКИ) НА НАПРЯЖЕНИЕ НЕ БОЛЕЕ 1000 В; СОЕДИНИТЕЛИ ДЛЯ ВОЛОКОН ОПТИЧЕСКИХ, ВОЛОКОННО-ОПТИЧЕСКИХ ЖГУТОВ ИЛИ КАБЕЛЕЙ	1	25	11	0	58000	2	2017	8
08/2017	RO	ИМ	8517620009	АППАРАТЫ ТЕЛЕФОННЫЕ, ВКЛЮЧАЯ СМАРТФОНЫ И ПРОЧИЕ АППАРАТЫ ТЕЛЕФОННЫЕ ДЛЯ СОТОВЫХ СЕТЕЙ СВЯЗИ ИЛИ ДРУГИХ БЕСПРОВОДНЫХ СЕТЕЙ СВЯЗИ; ПРОЧАЯ АППАРАТУРА ДЛЯ ПЕРЕДАЧИ ИЛИ ПРИЕМА ГОЛОСА, ИЗОБРАЖЕНИЙ ИЛИ ДРУГИХ ДАННЫХ, ВКЛЮЧАЯ АППАРАТУРУ ДЛЯ КОММУНИКАЦИИ В СЕТИ ПРОВОДНОЙ ИЛИ БЕСПРОВОДНОЙ СВЯЗИ (НАПРИМЕР, В ЛОКАЛЬНОЙ ИЛИ ГЛОБАЛЬНОЙ СЕТИ СВЯЗИ), КРОМЕ ПЕРЕДАЮЩЕЙ ИЛИ ПРИЕМНОЙ АППАРАТУРЫ ТОВАРНОЙ ПОЗИЦИИ 8443, 8525, 8527 ИЛИ 8528	ШТ	47322	295	114	45000	1	2017	8
08/2017	NO	ИМ	8537209100	ПУЛЬТЫ, ПАНЕЛИ, КОНСОЛИ, СТОЛЫ, РАСПРЕДЕЛИТЕЛЬНЫЕ ЩИТЫ И ОСНОВАНИЯ ДЛЯ ЭЛЕКТРИЧЕСКОЙ АППАРАТУРЫ ПРОЧИЕ, ОБОРУДОВАННЫЕ ДВУМЯ ИЛИ БОЛЕЕ УСТРОЙСТВАМИ ТОВАРНОЙ ПОЗИЦИИ 8535 ИЛИ 8536, ДЛЯ УПРАВЛЕНИЯ ИЛИ РАСПРЕДЕЛЕНИЯ ЭЛЕКТРИЧЕСКОГО ТОКА, В ТОМ ЧИСЛЕ ВКЛЮЧАЮЩИЕ В СЕБЯ ПРИБОРЫ ИЛИ УСТРОЙСТВА ГРУППЫ 90 И ЦИФРОВЫЕ АППАРАТЫ УПРАВЛЕНИЯ, КРОМЕ КОММУТАЦИОННЫХ УСТРОЙСТВ ТОВАРНОЙ ПОЗИЦИИ 8517	1	252780	11370	0	45000	1	2017	8
08/2017	NL	ИМ	7326909409	ИЗДЕЛИЯ ИЗ ЧЕРНЫХ МЕТАЛЛОВ ПРОЧИЕ	1	7801	935	0	3000	3	2017	8
08/2017	VN	ИМ	8301700000	ЗАМКИ ВИСЯЧИЕ И ВРЕЗНЫЕ (ДЕЙСТВУЮЩИЕ С ПОМОЩЬЮ КЛЮЧА, КОДОВОЙ КОМБИНАЦИИ ИЛИ ЭЛЕКТРИЧЕСКИЕ), ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; ЗАДВИЖКИ И РАМКИ С ЗАДВИЖКАМИ, ОБЪЕДИНЕННЫЕ С ЗАМКАМИ, ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; КЛЮЧИ ДЛЯ ЛЮБЫХ ВЫШЕУКАЗАННЫХ ИЗДЕЛИЙ, ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ	1	5	0	0	45000	1	2017	8
08/2017	MX	ИМ	8537109900	ПУЛЬТЫ, ПАНЕЛИ, КОНСОЛИ, СТОЛЫ, РАСПРЕДЕЛИТЕЛЬНЫЕ ЩИТЫ И ОСНОВАНИЯ ДЛЯ ЭЛЕКТРИЧЕСКОЙ АППАРАТУРЫ ПРОЧИЕ, ОБОРУДОВАННЫЕ ДВУМЯ ИЛИ БОЛЕЕ УСТРОЙСТВАМИ ТОВАРНОЙ ПОЗИЦИИ 8535 ИЛИ 8536, ДЛЯ УПРАВЛЕНИЯ ИЛИ РАСПРЕДЕЛЕНИЯ ЭЛЕКТРИЧЕСКОГО ТОКА, В ТОМ ЧИСЛЕ ВКЛЮЧАЮЩИЕ В СЕБЯ ПРИБОРЫ ИЛИ УСТРОЙСТВА ГРУППЫ 90 И ЦИФРОВЫЕ АППАРАТЫ УПРАВЛЕНИЯ, КРОМЕ КОММУТАЦИОННЫХ УСТРОЙСТВ ТОВАРНОЙ ПОЗИЦИИ 8517	1	88	1	0	92000	4	2017	8
08/2017	CN	ИМ	8408103900	ДВИГАТЕЛИ ВНУТРЕННЕГО СГОРАНИЯ ПОРШНЕВЫЕ С ВОСПЛАМЕНЕНИЕМ ОТ СЖАТИЯ (ДИЗЕЛИ ИЛИ ПОЛУДИЗЕЛИ)	ШТ	10842	1530	3	46000	1	2017	8
08/2017	PL	ИМ	8409910008	ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ИСКЛЮЧИТЕЛЬНО ИЛИ ГЛАВНЫМ ОБРАЗОМ ДЛЯ ДВИГАТЕЛЕЙ ТОВАРНОЙ ПОЗИЦИИ 8407 ИЛИ 8408	1	18638	348	0	22000	4	2017	8
08/2017	TW	ИМ	8413603100	НАСОСЫ ЖИДКОСТНЫЕ С РАСХОДОМЕРАМИ ИЛИ БЕЗ НИХ; ПОДЪЕМНИКИ ЖИДКОСТЕЙ	ШТ	375	23	7	45000	1	2017	8
08/2017	KR	ИМ	8404100000	ВСПОМОГАТЕЛЬНОЕ ОБОРУДОВАНИЕ ДЛЯ ИСПОЛЬЗОВАНИЯ С КОТЛАМИ ТОВАРНОЙ ПОЗИЦИИ 8402 ИЛИ 8403 (НАПРИМЕР, ЭКОНОМАЙЗЕРЫ, ПАРОПЕРЕГРЕВАТЕЛИ, САЖЕУДАЛИТЕЛИ, ГАЗОВЫЕ РЕКУПЕРАТОРЫ); КОНДЕНСАТОРЫ ДЛЯ ПАРОВОДЯНЫХ ИЛИ ДРУГИХ ПАРОВЫХ СИЛОВЫХ УСТАНОВОК	1	348	32	0	45000	1	2017	8
08/2017	CA	ИМ	8424309000	МЕХАНИЧЕСКИЕ УСТРОЙСТВА (С РУЧНЫМ УПРАВЛЕНИЕМ ИЛИ БЕЗ НЕГО) ДЛЯ МЕТАНИЯ, РАЗБРЫЗГИВАНИЯ ИЛИ РАСПЫЛЕНИЯ ЖИДКОСТЕЙ ИЛИ ПОРОШКОВ; ОГНЕТУШИТЕЛИ ЗАРЯЖЕННЫЕ ИЛИ НЕЗАРЯЖЕННЫЕ; ПУЛЬВЕРИЗАТОРЫ И АНАЛОГИЧНЫЕ УСТРОЙСТВА; ПАРОСТРУЙНЫЕ ИЛИ ПЕСКОСТРУЙНЫЕ И АНАЛОГИЧНЫЕ МЕТАТЕЛЬНЫЕ УСТРОЙСТВА	ШТ	203	41	2	45000	1	2017	8
08/2017	DE	ИМ	8481808508	КРАНЫ, КЛАПАНЫ, ВЕНТИЛИ И АНАЛОГИЧНАЯ АРМАТУРА ДЛЯ ТРУБОПРОВОДОВ, КОТЛОВ, РЕЗЕРВУАРОВ, ЦИСТЕРН, БАКОВ ИЛИ АНАЛОГИЧНЫХ ЕМКОСТЕЙ, ВКЛЮЧАЯ РЕДУКЦИОННЫЕ И ТЕРМОРЕГУЛИРУЕМЫЕ КЛАПАНЫ	1	1677	11	0	38000	1	2017	8
08/2017	CN	ИМ	8480710000	ОПОКИ ДЛЯ МЕТАЛЛОЛИТЕЙНОГО ПРОИЗВОДСТВА; ЛИТЕЙНЫЕ ПОДДОНЫ; МОДЕЛИ ЛИТЕЙНЫЕ; ФОРМЫ ДЛЯ ЛИТЬЯ МЕТАЛЛОВ (КРОМЕ ИЗЛОЖНИЦ), КАРБИДОВ МЕТАЛЛОВ, СТЕКЛА, МИНЕРАЛЬНЫХ МАТЕРИАЛОВ, РЕЗИНЫ ИЛИ ПЛАСТМАСС	1	7582	1050	0	94000	4	2017	8
08/2017	DK	ИМ	8479908000	МАШИНЫ И МЕХАНИЧЕСКИЕ УСТРОЙСТВА, ИМЕЮЩИЕ ИНДИВИДУАЛЬНЫЕ ФУНКЦИИ, В ДРУГОМ МЕСТЕ ДАННОЙ ГРУППЫ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ	1	834	1	0	17000	1	2017	8
08/2017	GB	ИМ	8536508000	АППАРАТУРА ЭЛЕКТРИЧЕСКАЯ ДЛЯ КОММУТАЦИИ ИЛИ ЗАЩИТЫ ЭЛЕКТРИЧЕСКИХ ЦЕПЕЙ ИЛИ ДЛЯ ПОДСОЕДИНЕНИЙ К ЭЛЕКТРИЧЕСКИМ ЦЕПЯМ ИЛИ В ЭЛЕКТРИЧЕСКИХ ЦЕПЯХ (НАПРИМЕР, ВЫКЛЮЧАТЕЛИ, ПЕРЕКЛЮЧАТЕЛИ, ПРЕРЫВАТЕЛИ, РЕЛЕ, ПЛАВКИЕ ПРЕДОХРАНИТЕЛИ, ГАСИТЕЛИ СКАЧКОВ НАПРЯЖЕНИЯ, ШТЕПСЕЛЬНЫЕ ВИЛКИ И РОЗЕТКИ, ПАТРОНЫ ДЛЯ ЭЛЕКТРОЛАМП И ПРОЧИЕ СОЕДИНИТЕЛИ, СОЕДИНИТЕЛЬНЫЕ КОРОБКИ) НА НАПРЯЖЕНИЕ НЕ БОЛЕЕ 1000 В; СОЕДИНИТЕЛИ ДЛЯ ВОЛОКОН ОПТИЧЕСКИХ, ВОЛОКОННО-ОПТИЧЕСКИХ ЖГУТОВ ИЛИ КАБЕЛЕЙ	1	1936	2	0	17000	1	2017	8
08/2017	IT	ИМ	8529103900	ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ИСКЛЮЧИТЕЛЬНО ИЛИ В ОСНОВНОМ ДЛЯ АППАРАТУРЫ ТОВАРНЫХ ПОЗИЦИЙ 8524 - 8528	1	11402	316	0	4000	6	2017	8
08/2017	BY	ИМ	8433598509	МАШИНЫ ИЛИ МЕХАНИЗМЫ ДЛЯ УБОРКИ ИЛИ ОБМОЛОТА СЕЛЬСКОХОЗЯЙСТВЕННЫХ КУЛЬТУР, ВКЛЮЧАЯ ПРЕСС-ПОДБОРЩИКИ, ПРЕССЫ ДЛЯ УПАКОВКИ В КИПЫ СОЛОМЫ ИЛИ СЕНА; СЕНОКОСИЛКИ ИЛИ ГАЗОНОКОСИЛКИ; МАШИНЫ ДЛЯ ОЧИСТКИ, СОРТИРОВКИ ИЛИ КАЛИБРОВКИ ЯИЦ, ПЛОДОВ ИЛИ ДРУГИХ СЕЛЬСКОХОЗЯЙСТВЕННЫХ ПРОДУКТОВ, КРОМЕ МАШИН ТОВАРНОЙ ПОЗИЦИИ 8437	ШТ	54236	15300	6	63000	4	2017	8
08/2017	PH	ИМ	7323930000	"ИЗДЕЛИЯ СТОЛОВЫЕ, КУХОННЫЕ ИЛИ ПРОЧИЕ ИЗДЕЛИЯ ДЛЯ БЫТОВЫХ НУЖД И ИХ ЧАСТИ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ; \"ШЕРСТЬ\" ИЗ ЧЕРНЫХ МЕТАЛЛОВ; МОЧАЛКИ ДЛЯ ЧИСТКИ КУХОННОЙ ПОСУДЫ, ПОДУШЕЧКИ ДЛЯ ЧИСТКИ ИЛИ ПОЛИРОВКИ, ПЕРЧАТКИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ"	1	458	1	0	71000	5	2017	8
08/2017	CN	ИМ	7615200000	ИЗДЕЛИЯ СТОЛОВЫЕ, КУХОННЫЕ ИЛИ ПРОЧИЕ ИЗДЕЛИЯ ДЛЯ БЫТОВЫХ НУЖД И ИХ ЧАСТИ ИЗ АЛЮМИНИЯ; МОЧАЛКИ ДЛЯ ЧИСТКИ КУХОННОЙ ПОСУДЫ, ПОДУШЕЧКИ ДЛЯ ЧИСТКИ ИЛИ ПОЛИРОВКИ, ПЕРЧАТКИ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ АЛЮМИНИЯ; ОБОРУДОВАНИЕ САНИТАРНО-ТЕХНИЧЕСКОЕ И ЕГО ЧАСТИ ИЗ АЛЮМИНИЯ	1	12	2	0	3000	3	2017	8
08/2017	CA	ИМ	8302100000	КРЕПЕЖНАЯ АРМАТУРА, ФУРНИТУРА И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ, ИСПОЛЬЗУЕМЫЕ ДЛЯ МЕБЕЛИ, ДВЕРЕЙ, ЛЕСТНИЦ, ОКОН, ШТОР, В САЛОНАХ ТРАНСПОРТНЫХ СРЕДСТВ, ШОРНЫХ ИЗДЕЛИЙ, ЧЕМОДАНОВ, ЯЩИКОВ, ШКАТУЛОК ИЛИ АНАЛОГИЧНЫХ ИЗДЕЛИЙ; ВЕШАЛКИ ДЛЯ ШЛЯП, КРЮЧКИ ДЛЯ ШЛЯП, КРОНШТЕЙНЫ И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; МЕБЕЛЬНЫЕ КОЛЕСА С КРЕПЕЖНЫМИ ПРИСПОСОБЛЕНИЯМИ ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ; АВТОМАТИЧЕСКИЕ УСТРОЙСТВА ИЗ НЕДРАГОЦЕННЫХ МЕТАЛЛОВ ДЛЯ ЗАКРЫВАНИЯ ДВЕРЕЙ	1	427	14	0	45000	1	2017	8
08/2017	GB	ИМ	8708949909	ЧАСТИ И ПРИНАДЛЕЖНОСТИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНЫХ ПОЗИЦИЙ 8701 - 8705	1	5674	296	0	46000	1	2017	8
08/2017	CN	ИМ	8450119000	МАШИНЫ СТИРАЛЬНЫЕ, БЫТОВЫЕ ИЛИ ДЛЯ ПРАЧЕЧНЫХ, ВКЛЮЧАЯ МАШИНЫ, ОСНАЩЕННЫЕ ОТЖИМНЫМ УСТРОЙСТВОМ	ШТ	131633	44462	714	33000	4	2017	8
08/2017	GR	ИМ	8544429009	ПРОВОДА ИЗОЛИРОВАННЫЕ (ВКЛЮЧАЯ ЭМАЛИРОВАННЫЕ ИЛИ АНОДИРОВАННЫЕ), КАБЕЛИ (ВКЛЮЧАЯ КОАКСИАЛЬНЫЕ КАБЕЛИ) И ДРУГИЕ ИЗОЛИРОВАННЫЕ ЭЛЕКТРИЧЕСКИЕ ПРОВОДНИКИ С СОЕДИНИТЕЛЬНЫМИ ПРИСПОСОБЛЕНИЯМИ ИЛИ БЕЗ НИХ; КАБЕЛИ ВОЛОКОННО-ОПТИЧЕСКИЕ, СОСТАВЛЕННЫЕ ИЗ ВОЛОКОН С ИНДИВИДУАЛЬНЫМИ ОБОЛОЧКАМИ, НЕЗАВИСИМО ОТ ТОГО, НАХОДЯТСЯ ОНИ ИЛИ НЕТ В СБОРЕ С ЭЛЕКТРОПРОВОДНИКАМИ ИЛИ СОЕДИНИТЕЛЬНЫМИ ПРИСПОСОБЛЕНИЯМИ	1	521	34	0	45000	1	2017	8
08/2017	NL	ИМ	8505191000	ЭЛЕКТРОМАГНИТЫ; ПОСТОЯННЫЕ МАГНИТЫ И ИЗДЕЛИЯ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ ПРЕВРАЩЕНИЯ В ПОСТОЯННЫЕ МАГНИТЫ ПОСЛЕ НАМАГНИЧИВАНИЯ; ЭЛЕКТРОМАГНИТНЫЕ ИЛИ С ПОСТОЯННЫМИ МАГНИТАМИ ЗАЖИМНЫЕ ПАТРОНЫ, ЗАХВАТЫ И АНАЛОГИЧНЫЕ ФИКСИРУЮЩИЕ УСТРОЙСТВА; ЭЛЕКТРОМАГНИТНЫЕ СЦЕПЛЕНИЯ, МУФТЫ И ТОРМОЗА; ЭЛЕКТРОМАГНИТНЫЕ ПОДЪЕМНЫЕ ГОЛОВКИ	1	469	25	0	49000	2	2017	8
08/2017	KR	ИМ	8483109500	ВАЛЫ ТРАНСМИССИОННЫЕ (ВКЛЮЧАЯ КУЛАЧКОВЫЕ И КОЛЕНЧАТЫЕ) И КРИВОШИПЫ; КОРПУСА ПОДШИПНИКОВ И ПОДШИПНИКИ СКОЛЬЖЕНИЯ ДЛЯ ВАЛОВ; ШЕСТЕРНИ И ЗУБЧАТЫЕ ПЕРЕДАЧИ; ШАРИКОВЫЕ ИЛИ РОЛИКОВЫЕ ВИНТОВЫЕ ПЕРЕДАЧИ; КОРОБКИ ПЕРЕДАЧ И ДРУГИЕ ВАРИАТОРЫ СКОРОСТИ, ВКЛЮЧАЯ ГИДРОТРАНСФОРМАТОРЫ; МАХОВИКИ И ШКИВЫ, ВКЛЮЧАЯ БЛОКИ ШКИВОВ; МУФТЫ И УСТРОЙСТВА ДЛЯ СОЕДИНЕНИЯ ВАЛОВ (ВКЛЮЧАЯ УНИВЕРСАЛЬНЫЕ ШАРНИРЫ)	ШТ	60	39	13	25000	6	2017	8
08/2017	RS	ИМ	7606129209	ПЛИТЫ, ЛИСТЫ, ПОЛОСЫ ИЛИ ЛЕНТЫ АЛЮМИНИЕВЫЕ ТОЛЩИНОЙ БОЛЕЕ 0,2 ММ	1	73973	21169	0	40000	2	2017	8
08/2017	DE	ИМ	0603191000	СРЕЗАННЫЕ ЦВЕТЫ И БУТОНЫ, ПРИГОДНЫЕ ДЛЯ СОСТАВЛЕНИЯ БУКЕТОВ ИЛИ ДЛЯ ДЕКОРАТИВНЫХ ЦЕЛЕЙ, СВЕЖИЕ, ЗАСУШЕННЫЕ, ОКРАШЕННЫЕ, ОТБЕЛЕННЫЕ, ПРОПИТАННЫЕ ИЛИ ПОДГОТОВЛЕННЫЕ ДРУГИМИ СПОСОБАМИ	ШТ	2644	618	6010	27000	2	2017	8
08/2017	JP	ИМ	1806329000	ШОКОЛАД И ПРОЧИЕ ГОТОВЫЕ ПИЩЕВЫЕ ПРОДУКТЫ, СОДЕРЖАЩИЕ КАКАО	1	35242	1738	0	64000	7	2017	8
08/2017	KZ	ИМ	0904211000	ПЕРЕЦ РОДА PIPER; ПЛОДЫ РОДА CAPSICUM ИЛИ РОДА PIMENTA, СУШЕНЫЕ ИЛИ  ДРОБЛЕНЫЕ,  ИЛИ МОЛОТЫЕ	1	32	5	0	14000	1	2017	8
08/2017	IT	ИМ	8708509909	ЧАСТИ И ПРИНАДЛЕЖНОСТИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНЫХ ПОЗИЦИЙ 8701 - 8705	1	233	43	0	27000	2	2017	8
08/2017	DE	ИМ	8708402001	ЧАСТИ И ПРИНАДЛЕЖНОСТИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНЫХ ПОЗИЦИЙ 8701 - 8705	1	514831	30595	0	92000	4	2017	8
08/2017	KZ	ИМ	1512199002	МАСЛО ПОДСОЛНЕЧНОЕ, САФЛОРОВОЕ ИЛИ ХЛОПКОВОЕ И ИХ ФРАКЦИИ, НЕРАФИНИРОВАННЫЕ ИЛИ РАФИНИРОВАННЫЕ, НО БЕЗ ИЗМЕНЕНИЯ ХИМИЧЕСКОГО СОСТАВА	1	1343	1500	0	52000	6	2017	8
08/2017	MX	ИМ	8708299009	ЧАСТИ И ПРИНАДЛЕЖНОСТИ МОТОРНЫХ ТРАНСПОРТНЫХ СРЕДСТВ ТОВАРНЫХ ПОЗИЦИЙ 8701 - 8705	1	2931	24	0	27000	2	2017	8
08/2017	SE	ИМ	8546909000	ИЗОЛЯТОРЫ ЭЛЕКТРИЧЕСКИЕ ИЗ ЛЮБЫХ МАТЕРИАЛОВ	1	133	0	0	45000	1	2017	8
08/2017	ES	ИМ	8504405500	ТРАНСФОРМАТОРЫ ЭЛЕКТРИЧЕСКИЕ, СТАТИЧЕСКИЕ ЭЛЕКТРИЧЕСКИЕ ПРЕОБРАЗОВАТЕЛИ (НАПРИМЕР, ВЫПРЯМИТЕЛИ), КАТУШКИ ИНДУКТИВНОСТИ И ДРОССЕЛИ	ШТ	678	3	10	46000	1	2017	8
08/2017	DE	ИМ	8459390000	СТАНКИ МЕТАЛЛОРЕЖУЩИЕ (ВКЛЮЧАЯ АГРЕГАТНЫЕ СТАНКИ ЛИНЕЙНОГО ПОСТРОЕНИЯ) ДЛЯ СВЕРЛЕНИЯ, РАСТАЧИВАНИЯ, ФРЕЗЕРОВАНИЯ, НАРЕЗАНИЯ НАРУЖНОЙ ИЛИ ВНУТРЕННЕЙ РЕЗЬБЫ ПОСРЕДСТВОМ УДАЛЕНИЯ МЕТАЛЛА, КРОМЕ ТОКАРНЫХ СТАНКОВ (ВКЛЮЧАЯ СТАНКИ ТОКАРНЫЕ МНОГОЦЕЛЕВЫЕ) ТОВАРНОЙ ПОЗИЦИИ 8458	ШТ	17124	10000	1	75000	5	2017	8
08/2017	SE	ИМ	8467910000	ИНСТРУМЕНТЫ РУЧНЫЕ ПНЕВМАТИЧЕСКИЕ, ГИДРАВЛИЧЕСКИЕ ИЛИ СО ВСТРОЕННЫМ ЭЛЕКТРИЧЕСКИМ ИЛИ НЕЭЛЕКТРИЧЕСКИМ ДВИГАТЕЛЕМ	1	44001	617	0	46000	1	2017	8
08/2017	CN	ИМ	8471606000	ВЫЧИСЛИТЕЛЬНЫЕ МАШИНЫ И ИХ БЛОКИ; МАГНИТНЫЕ ИЛИ ОПТИЧЕСКИЕ СЧИТЫВАЮЩИЕ УСТРОЙСТВА, МАШИНЫ ДЛЯ ПЕРЕНОСА ДАННЫХ НА НОСИТЕЛИ ИНФОРМАЦИИ В КОДИРОВАННОЙ ФОРМЕ И МАШИНЫ ДЛЯ ОБРАБОТКИ ПОДОБНОЙ ИНФОРМАЦИИ, В ДРУГОМ МЕСТЕ НЕ ПОИМЕНОВАННЫЕ ИЛИ НЕ ВКЛЮЧЕННЫЕ	ШТ	11096	387	14080	28000	1	2017	8
08/2017	AT	ИМ	8465930000	СТАНКИ (ВКЛЮЧАЯ МАШИНЫ ДЛЯ СБОРКИ С ПОМОЩЬЮ ГВОЗДЕЙ, СКОБ, КЛЕЯ ИЛИ ДРУГИМИ СПОСОБАМИ) ДЛЯ ОБРАБОТКИ ДЕРЕВА, ПРОБКИ, КОСТИ, ТВЕРДОЙ РЕЗИНЫ, ТВЕРДЫХ ПЛАСТМАСС ИЛИ АНАЛОГИЧНЫХ ТВЕРДЫХ МАТЕРИАЛОВ	ШТ	281	5	1	45000	1	2017	8
08/2017	NL	ИМ	7318220009	ВИНТЫ, БОЛТЫ, ГАЙКИ, ГЛУХАРИ, ВВЕРТНЫЕ КРЮКИ, ЗАКЛЕПКИ, ШПОНКИ, ШПЛИНТЫ, ШАЙБЫ (ВКЛЮЧАЯ ПРУЖИННЫЕ) И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	618	81	0	46000	1	2017	8
08/2017	GB	ИМ	7318158900	ВИНТЫ, БОЛТЫ, ГАЙКИ, ГЛУХАРИ, ВВЕРТНЫЕ КРЮКИ, ЗАКЛЕПКИ, ШПОНКИ, ШПЛИНТЫ, ШАЙБЫ (ВКЛЮЧАЯ ПРУЖИННЫЕ) И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	98	3	0	3000	3	2017	8
08/2017	TR	ИМ	7318169109	ВИНТЫ, БОЛТЫ, ГАЙКИ, ГЛУХАРИ, ВВЕРТНЫЕ КРЮКИ, ЗАКЛЕПКИ, ШПОНКИ, ШПЛИНТЫ, ШАЙБЫ (ВКЛЮЧАЯ ПРУЖИННЫЕ) И АНАЛОГИЧНЫЕ ИЗДЕЛИЯ, ИЗ ЧЕРНЫХ МЕТАЛЛОВ	1	779	53	0	45000	1	2017	8
08/2017	BY	ИМ	8501402009	ДВИГАТЕЛИ И ГЕНЕРАТОРЫ ЭЛЕКТРИЧЕСКИЕ (КРОМЕ ЭЛЕКТРОГЕНЕРАТОРНЫХ УСТАНОВОК)	ШТ	1917	285	33	40000	2	2017	8
08/2017	BD	ИМ	6204623900	КОСТЮМЫ, КОМПЛЕКТЫ, ЖАКЕТЫ, БЛАЙЗЕРЫ, ПЛАТЬЯ, ЮБКИ, ЮБКИ-БРЮКИ, БРЮКИ, КОМБИНЕЗОНЫ С НАГРУДНИКАМИ И ЛЯМКАМИ, БРИДЖИ И ШОРТЫ (КРОМЕ КУПАЛЬНЫХ) ЖЕНСКИЕ ИЛИ ДЛЯ ДЕВОЧЕК	ШТ	187	3	8	1000	6	2017	8
